"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIAA0408",-5.5319235234851,2.45881453344344,-26.1552657976917,6.82064093111376e-120,9.39783612857486e-118,262.986887931152
"PPAP2B",-2.08473372435191,10.2592845582164,-26.1398078402139,8.83398190450583e-120,1.20907765666336e-117,262.72896165186
"DMD",-3.8043246909434,7.75055945499587,-26.1326012994927,9.96596631105604e-120,1.35497541964226e-117,262.608730154286
"KIF2C",3.43671207119895,8.34105846407927,26.0959699677306,1.8391704695839e-119,2.48409011451035e-117,261.997727536518
"LRRC2",-3.38440981784452,3.43420792733278,-26.0878841371092,2.1054567377972e-119,2.82516515208997e-117,261.862889746699
"C12orf39",-4.08388005405492,1.21668728323699,-26.0825876424043,2.30043533838947e-119,3.0667491881257e-117,261.77457270653
"CFL2",-1.87877278302869,8.37146746490504,-26.0737258751004,2.66784308585782e-119,3.53360119694588e-117,261.626817278515
"IGFBP6",-3.28810580210782,7.34146721717589,-26.0353825073036,5.0643398293951e-119,6.66480107035138e-117,260.987666267018
"CENPF",3.13181287162756,10.5313238645747,26.0045128044458,8.48292298365162e-119,1.10926375066476e-116,260.473286507637
"PRRG3",-2.69314004142078,1.35403253509496,-25.9974832197547,9.54001606085517e-119,1.23959828942631e-116,260.356177010257
"SLC17A7",-3.25626307313407,3.65850710156895,-25.9535157164541,1.98824605398482e-118,2.56721330115147e-116,259.623902357556
"GLP2R",-2.23635544867182,0.580609744013212,-25.8811103283795,6.65786171636252e-118,8.54286881480766e-116,258.41876427539
"FRMD1",-3.60443158214588,1.81889661436829,-25.8638934607149,8.87315544682632e-118,1.13146510138723e-115,258.132342699719
"KLHL29",-3.14247353388028,6.17178307184145,-25.7601461959699,5.00341629732592e-117,6.3407491718581e-115,256.407553849728
"EXO1",3.57147215292104,7.28072122213047,25.7470610777193,6.22226548175777e-117,7.8370006343857e-115,256.190157369743
"ATOH8",-3.83171978761855,5.26285904211396,-25.7135573150373,1.08720917290289e-116,1.36100026339612e-114,255.633671539316
"LEP",-7.25779329511107,4.52610520231214,-25.656640545742,2.804373165451e-116,3.48932006586115e-114,254.688789404022
"PTTG1",3.06730008396104,8.14987184145334,25.6273579626412,4.56512316706797e-116,5.64590232650033e-114,254.202905301854
"PPARG",-3.23864266100531,7.29738720066061,-25.6268447755182,4.60426722510576e-116,5.66021593601325e-114,254.194391477066
"C1QTNF9",-3.16157298453517,2.40894211395541,-25.6014733711747,7.02188710490154e-116,8.58091322997789e-114,253.773540161063
"NCAPG",2.98341937101184,8.25931899256813,25.5691212628531,1.20254415723453e-115,1.46084210343342e-113,253.237074573343
"ACACB",-3.47304697820212,8.86815516102395,-25.5554628188873,1.5090937864693e-115,1.82245267271851e-113,253.010649475345
"KLHL31",-3.21846997793024,5.20059421965318,-25.5297451889612,2.31396870264748e-115,2.7781156412487e-113,252.584409005103
"CCNB1",2.34663909705896,9.58059124690338,25.4762444401454,5.62822562597861e-115,6.71787628496167e-113,251.698105971572
"OIP5",2.66985456428216,5.88240033030553,25.4347352557885,1.12123929017501e-114,1.33058049868745e-112,251.010842102046
"C7orf41",-2.44948956404228,9.75084120561519,-25.4197085580177,1.43886881404459e-114,1.69769981335261e-112,250.762129731786
"LDB2",-2.30566385437157,7.95664161849711,-25.4007071578947,1.97228164731838e-114,2.3137681268255e-112,250.447694262076
"SH3D19",-1.99419596747108,10.1881765483072,-25.383206215348,2.6367878405501e-114,3.07575308900532e-112,250.158151434993
"FOXM1",3.43437019782821,9.27989669694467,25.368486229852,3.36606434887013e-114,3.90425429843524e-112,249.914664836068
"KCNJ16",-4.78949181259896,2.42405326176713,-25.3076568245052,9.22907056566676e-114,1.06445403771426e-111,248.908928661456
"BIRC5",3.79658147499561,7.91624467382329,25.3036608104271,9.86102965153419e-114,1.13098848461451e-111,248.842885539499
"CD34",-2.11018013561707,10.3234309661437,-25.2828887642468,1.39130473631243e-113,1.5868603464719e-111,248.499632288899
"STAB2",-3.97622566649075,2.26706003303055,-25.2413950492338,2.76660525153475e-113,3.12448151195696e-111,247.814217915766
"NEIL3",3.38968405219978,5.25241015689513,25.2413236984628,2.76987644995698e-113,3.12448151195696e-111,247.81303960624
"SKA3",3.04068140302898,7.00568703550784,25.2374203343294,2.95484862108175e-113,3.31492033829554e-111,247.74857976581
"PALM2-AKAP2",-2.15568207471734,9.81495367464905,-25.2326852731381,3.19587837140225e-113,3.56583603070044e-111,247.670389481067
"NACC1",1.37333780405891,10.8894900082576,25.1778276815993,7.92478782051664e-113,8.79437264622739e-111,246.764854921825
"H2AFY",1.08888637912007,12.1406133773741,25.169409851278,9.10927839177446e-113,1.00544884614586e-110,246.625955921033
"NPY2R",-5.35907869868381,1.85882947976879,-25.0822512594482,3.85031318496812e-112,4.22710853943292e-110,245.188642735158
"SLC35A2",1.24336382318604,9.97617332782824,25.0798554221864,4.00584802569731e-112,4.37447127487052e-110,245.149155589163
"DST",-2.74095765005037,11.7499996696945,-25.0763904131762,4.24196396090327e-112,4.60780529721397e-110,245.092048919271
"MRAP",-5.48062327080235,2.26359430222956,-25.0709436544932,4.64154631442773e-112,5.01531293869481e-110,245.002286135071
